label#,Nstg,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Comp 6,Comp 7,Comp 8
A.82,1,-0.0021898,3.1766,0.78236,1.1364,-3.5497,2.5987,-2.4709,1.8623
A.342,1,-3.1967,-1.5696,0.89458,-1.44,1.7006,1.3563,2.7152,2.5114
A.123,1,-1.7562,1.3614,-4.4449,-7.2804,2.3036,4.9182,2.9993,-0.43186
A.392,1,3.4152,-1.8015,1.0314,2.0727,-0.18257,0.52789,-1.2725,-5.2842
A.145,1,-1.4049,0.98029,-1.018,-5.1391,0.97653,-0.43027,-2.7005,-4.4164
A.389,1,-0.079965,3.1242,1.3375,1.0103,-0.68016,3.7657,-2.1378,1.9378
A.183,1,5.7904,-0.043867,-1.0704,-1.1001,-0.51974,-0.33054,0.46998,3.1468
A.203,1,0.13639,4.5091,0.35517,3.1585,-3.6989,3.2174,-0.40783,2.4958
A.422,1,3.3337,2.8821,-0.077368,4.4157,-2.4128,0.29406,-2.6225,-4.9512
A.19,1,1.1237,-4.7659,3.8724,-0.38779,1.1005,2.6287,-0.17624,-0.76643
A.362,1,4.7092,-0.5587,2.5813,1.4854,-0.67031,0.79441,-0.99365,-4.1181
A.144,1,-2.4421,0.82082,2.995,1.1143,3.0372,-0.57546,1.179,0.91411
A.93,1,-1.696,-0.012482,-1.9096,1.4864,-2.7033,4.149,0.80369,2.0184
A.224,1,-0.87053,3.1355,-0.61702,2.4791,-2.7105,3.3142,-0.98355,2.8204
A.134,1,-0.72302,2.8179,-1.2135,-5.0145,2.9724,2.1183,0.061598,-2.7183
A.118,1,2.0569,-3.1452,3.1091,-0.096638,-1.4811,0.39756,-0.8542,-1.1962
A.331,1,-1.3881,-2.1506,-0.55292,2.3162,2.506,0.32083,1.5298,-1.3093
A.59,1,-2.1311,1.6399,-2.6979,0.98321,1.6316,-3.0161,-1.6755,2.0195
A.62,1,3.0231,-2.0645,3.8485,-1.7962,-1.771,0.6858,-0.875,0.90048
A.70,1,-1.2902,3.1455,-1.5842,1.3856,2.4594,-2.1419,-2.8953,1.5193
A.73,1,-0.055407,-1.5157,0.21799,1.9386,-0.70953,1.8827,-2.9284,1.9608
A.97,1,2.6044,-2.5746,4.041,0.85094,-0.69657,1.2067,-1.087,0.26522
A.69,1,-0.34253,2.4242,-2.9949,-6.674,0.062318,2.1544,-0.32127,-0.32865
A.127,1,0.24623,0.84289,1.7057,3.6099,-0.41789,0.79353,-5.4631,0.50787
A.309,1,-2.8343,-0.0063731,2.7956,-0.50091,2.3701,-0.36657,-0.31411,0.28821
A.64,1,0.58324,-5.3827,-1.7207,-0.67075,3.5411,0.48073,1.683,-0.057712
